"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-02-22",,,"0.00","0.0","0.0",,"48","35",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-02-23",,,"0.00","0.0","0.0",,"41","29",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-02-24",,,"0.00","0.0","0.0",,"41","28",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-02-25",,,"0.00","0.0","0.0",,"42","29",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-02-26",,,"0.00","0.0","0.0",,"44","34",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-02-27",,,"0.00","0.0","0.0",,"34","25",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-02-28",,,"0.00","0.0","0.0",,"41","23",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-01",,,"0.00","0.0","0.0",,"46","31",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-02",,,"0.00","0.0","0.0",,"54","36",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-03",,,"0.32","0.0","0.0",,"47","41",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-04",,,"0.37","0.0","0.0",,"58","45",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-05",,,"0.00","0.0","0.0",,"55","44",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-06",,,"0.00","0.0","0.0",,"48","42",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-07",,,"0.03","0.0","0.0",,"51","43",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-08",,,"0.35","0.0","0.0",,"60","46",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-09",,,"0.00","0.0","0.0",,"67","45",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-10",,,"0.00","0.0","0.0",,"52","41",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-11",,,"0.03","0.0","0.0",,"50","42",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-12",,,"0.09","0.0","0.0",,"68","47",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-13",,,"0.00","0.0","0.0",,"63","47",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-14",,,"0.04","0.0","0.0",,"51","45",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-15",,,"0.14","0.0","0.0",,"54","44",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-16",,,"0.23","0.0","0.0",,"64","46",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-17",,,"0.41","0.0","0.0",,"62","44",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-18",,,"0.00","0.0","0.0",,"44","37",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-19",,,"0.00","0.0","0.0",,"47","37",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-20",,,"0.00","0.0","0.0",,"51","36",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-21",,,"0.00","0.0","0.0",,"45","31",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-22",,,"0.00","0.0","0.0",,"43","36",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-23",,,"0.00","0.0","0.0",,"57","37",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-24",,,"0.00","0.0","0.0",,"62","39",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-25",,,"0.17","0.0","0.0",,"57","37",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-26",,,"1.47","0.0","0.0",,"59","47",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-27",,,"0.00","0.0","0.0",,"59","42",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-28",,,"0.00","0.0","0.0",,"51","35",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-29",,,"0.00","0.0","0.0",,"50","36",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-30",,,"0.06","0.0","0.0",,"52","45",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-03-31",,,"0.01","0.0","0.0",,"60","48",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-01",,,"1.49","0.0","0.0",,"56","50",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-02",,,"0.65","0.0","0.0",,"58","50",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-03",,,"0.00","0.0","0.0",,"59","46",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-04",,,"1.16","0.0","0.0",,"51","43",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-05",,,"0.00","0.0","0.0",,"56","45",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-06",,,"0.00","0.0","0.0",,"65","43",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-07",,,"0.02","0.0","0.0",,"66","49",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-08",,,"0.89","0.0","0.0",,"50","39",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-09",,,"0.00","0.0","0.0",,"54","36",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-10",,,"0.45","0.0","0.0",,"56","43",,
"USW00094789","JFK INTERNATIONAL AIRPORT, NY US","1973-04-11",,,"0.00","0.0","0.0",,"50","40",,
