"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-09",," 1448","0.00","0.0","0.0",,"39","17","  315","13.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-10",," 1254","0.00","0.0","0.0",,"45","20","  225","25.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-11",," 1348","0.00","0.0","0.0",,"49","30","  135","32.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-12",," 1342","0.00","0.0","0.0",,"67","43","  180","38.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-13",," 1818","0.00","0.0","0.0",,"49","36","  315","36.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-14",," 0600","0.00","0.0","0.0",,"42","26","  315","35.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-15",," 0918","0.00","0.0","0.0",,"36","24","  315","24.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-16",," 1006","0.00","0.0","0.0",,"39","20","   45","18.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-17",," 2254","0.02","0.1","0.0",,"37","27","  180","23.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-18",," 0036","0.01","0.1","0.0",,"42","33","  180","21.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-19",," 2042","0.00","0.0","0.0",,"44","30","  360","21.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-20",," 1154","0.00","0.0","0.0",,"55","26","  270","17.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-21",," 0906","0.00","0.0","0.0",,"53","33","   45","38.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-22",," 1730","0.04","0.0","0.0",,"44","28","  225","19.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-23",," 1348","0.00","0.0","0.0",,"55","32","  225","13.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-24",," 1436","0.00","0.0","0.0",,"56","30","  180","18.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-25",," 2348","0.00","0.0","0.0",,"62","33","  360","26.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-26",," 0430","0.00","0.0","0.0",,"50","33","  360","27.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-27",," 1700","0.00","0.0","0.0",,"58","26","  135","18.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-02-28",," 0906","0.00","0.0","0.0",,"57","40","  180","36.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-01",," 0118","0.12","0.0","0.0",,"58","49","  180","35.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-02",," 0424","0.00","0.0","0.0",,"56","43","  315","20.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-03",," 1930","0.08","0.0","0.0",,"60","43","   90","32.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-04",," 1106","0.00","0.0","0.0",,"52","41","  315","36.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-05",,,"0.04","0.0","0.0",,"63","35",,
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-06",," 1948","1.45","0.0","0.0",,"69","48","  315","28.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-07",," 1436","0.00","0.0","0.0",,"68","38","  180","19.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-08",," 0542","0.24","0.0","0.0",,"59","48","  360","32.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-09",," 2330","0.00","0.0","0.0",,"56","46","   45","25.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-10",," 1448","1.08","0.0","0.0",,"62","43","  225","44.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-11",," 0124","0.00","0.0","0.0",,"69","41","  270","26.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-12",," 1606","0.00","0.0","0.0",,"77","46","  135","24.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-13",," 1542","0.15","0.0","0.0",,"71","56","  225","52.8"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-14",," 1124","0.00","0.0","0.0",,"71","49","  225","41.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-15",," 0936","0.00","0.0","0.0",,"57","41","  360","30.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-16",," 1500","0.01","0.0","0.0",,"57","38","  315","49.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-17",," 1612","0.00","0.0","0.0",,"63","31","  135","23.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-18",," 1324","0.00","0.0","0.0",,"73","43","  180","34.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-19",," 1342","0.00","0.0","0.0",,"71","42","  315","40.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-20",," 0330","0.00","0.0","0.0",,"53","38","  360","33.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-21",," 2354","0.00","0.0","0.0",,"60","32","  135","21.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-22",," 1136","0.00","0.0","0.0",,"61","46","  180","35.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-23",," 1142","1.51","0.0","0.0",,"63","53","  135","32.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-24",," 2312","1.24","0.0","0.0",,"56","47","  315","43.6"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-25",," 0712","0.23","0.0","0.0",,"48","42","  315","48.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-26",," 0112","0.00","0.0","0.0",,"58","43","  315","32.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-27",," 2354","0.22","0.0","0.0",,"61","39","  270","28.9"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-28",," 1606","0.08","0.0","0.0",,"64","44","  225","25.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-29",," 2118","0.00","0.0","0.0",,"63","45","   45","27.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-30",," 1030","0.31","0.0","0.0",,"64","46","  270","36.7"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-03-31",," 1536","0.00","0.0","0.0",,"53","42","  315","39.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-01",," 0736","0.00","0.0","0.0",,"65","43","  315","27.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-02",," 1212","0.26","0.0","0.0",,"57","45","   45","26.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-03",," 1218","0.14","0.0","0.0",,"53","41","  315","38.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-04",," 1300","0.00","0.0","0.0",,"55","39","  315","33.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-05",," 1436","0.00","0.0","0.0",,"62","33","  225","24.2"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-06",," 1206","0.00","0.0","0.0",,"65","39","  225","31.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-07",," 2106","0.00","0.0","0.0",,"55","45","  360","27.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-08",," 1736","0.43","0.0","0.0",,"45","33","  315","42.5"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-09",," 1524","0.00","0.0","0.0",,"44","29","  315","46.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-10",," 0336","0.00","0.0","0.0",,"52","28","  315","26.4"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-11",," 1018","0.00","0.0","0.0",,"68","34","  225","31.1"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-12",," 2148","0.00","0.0","0.0",,"73","47","   90","23.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-13",," 2300","0.04","0.0","0.0",,"70","48","  135","25.3"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-14",," 1906","0.02","0.0","0.0",,"74","51","  135","38.0"
"USW00013967","OKLAHOMA CITY WILL ROGERS WORLD AIRPORT, OK US","1973-04-15",," 1630","0.71","0.0","0.0",,"64","50","  225","47.2"
